datetime,open,high,low,close,volume
2014-01-07,39.45,39.45,39.03,39.09,36.0
2014-01-08,39.49,39.49,38.7,38.97,46.0
2014-01-10,39.49,39.49,38.81,39.19,10.0
2014-01-15,39.05,39.05,39.05,39.05,2.0
2014-01-17,39.2,39.2,39.2,39.2,2.0
2014-01-20,39.2,39.2,39.13,39.13,20.0
2014-01-21,39.17,39.2,39.17,39.2,4.0
2014-01-22,39.0,39.0,38.99,38.99,14.0
2014-01-24,38.8,38.8,38.8,38.8,2.0
2014-01-29,38.7,39.25,38.7,39.25,6.0
2014-02-10,39.35,39.45,39.25,39.45,18.0
2014-02-11,39.1,39.2,39.03,39.03,58.0
2014-02-12,39.29,39.36,39.25,39.25,12.0
2014-02-13,39.1,39.19,39.1,39.1,16.0
2014-02-14,39.2,39.25,39.01,39.25,72.0
2014-02-17,39.1,39.25,39.1,39.19,14.0
2014-02-18,39.1,39.17,39.07,39.07,38.0
2014-02-19,39.1,39.1,39.01,39.1,16.0
2014-02-20,39.0,39.15,39.0,39.15,8.0
2014-02-21,39.0,39.15,39.0,39.13,8.0
2014-02-24,39.19,39.25,39.09,39.19,36.0
2014-02-25,39.2,39.2,39.14,39.15,6.0
2014-02-26,39.12,39.12,39.12,39.12,4.0
2014-03-03,39.2,39.27,39.0,39.0,42.0
2014-03-04,38.9,38.92,38.88,38.92,10.0
2014-03-05,39.45,39.45,38.5,39.04,90.0
2014-03-06,38.95,39.1,38.95,39.1,18.0
2014-03-07,39.1,39.15,39.07,39.08,38.0
2014-03-11,38.79,38.95,38.5,38.85,46.0
2014-03-12,38.9,38.93,38.82,38.93,66.0
2014-03-13,38.5,38.98,38.5,38.88,64.0
2014-03-14,39.4,39.4,38.55,38.55,380.0
2014-03-17,38.6,38.6,38.54,38.58,28.0
2014-03-18,38.51,38.53,38.4,38.5,10.0
2014-03-19,38.75,38.85,38.44,38.85,26.0
2014-03-20,38.79,38.79,38.6,38.79,6.0
2014-03-21,39.0,39.0,38.88,38.9,8.0
2014-03-24,38.7,38.7,38.7,38.7,6.0
2014-03-25,38.51,38.8,38.51,38.7,32.0
2014-03-26,38.65,38.75,38.62,38.75,22.0
2014-03-27,38.56,38.83,38.56,38.71,24.0
2014-03-28,38.61,38.71,38.51,38.51,10.0
2014-03-31,38.85,38.85,38.6,38.85,10.0
2014-04-01,38.82,38.98,38.55,38.85,32.0
2014-04-02,39.0,39.47,39.0,39.3,40.0
2014-04-03,39.12,39.35,39.1,39.31,54.0
2014-04-04,39.39,39.39,39.38,39.38,4.0
2014-04-08,39.3,39.3,39.2,39.3,14.0
2014-04-09,39.47,39.47,39.47,39.47,6.0
2014-04-10,39.32,39.46,39.32,39.46,6.0
2014-04-11,39.4,39.4,39.21,39.39,16.0
2014-04-14,39.35,39.39,39.35,39.39,6.0
2014-04-15,39.35,39.4,39.18,39.4,6.0
2014-04-16,39.46,39.65,39.45,39.65,10.0
2014-04-17,39.89,39.89,39.12,39.49,480.0
2014-04-18,39.46,39.9,39.45,39.87,40.0
2014-04-21,39.65,39.94,39.5,39.94,26.0
2014-04-22,39.7,40.16,39.7,40.16,14.0
2014-04-23,40.02,40.02,39.98,39.98,14.0
2014-04-28,40.25,40.48,40.25,40.48,18.0
2014-04-29,40.3,40.4,40.3,40.4,6.0
2014-04-30,40.59,40.88,40.59,40.88,6.0
2014-05-05,40.31,41.45,40.31,40.82,62.0
2014-05-06,40.72,40.72,40.72,40.72,2.0
2014-05-07,40.66,40.75,40.61,40.72,22.0
2014-05-09,40.74,40.89,40.74,40.89,4.0
2014-05-12,40.75,40.75,40.75,40.75,2.0
2014-05-13,40.9,40.9,40.52,40.85,24.0
2014-05-14,40.99,40.99,40.46,40.95,176.0
2014-05-15,41.0,41.59,41.0,41.56,28.0
2014-05-16,41.99,42.6,41.99,42.39,74.0
2014-05-19,43.0,43.0,42.03,42.37,46.0
2014-05-20,42.35,42.64,42.21,42.5,88.0
2014-05-21,42.34,42.43,42.15,42.43,42.0
2014-05-22,42.21,42.7,42.21,42.31,38.0
2014-05-26,42.33,42.34,42.33,42.34,4.0
2014-05-27,42.47,42.47,42.22,42.22,4.0
2014-05-28,42.35,42.4,42.02,42.4,20.0
2014-05-29,42.4,42.44,42.4,42.44,4.0
2014-05-30,42.4,42.6,42.37,42.4,18.0
2014-06-05,42.1,42.4,42.09,42.38,20.0
2014-06-06,42.11,42.11,41.8,42.0,16.0
2014-06-09,42.0,42.1,42.0,42.1,4.0
2014-06-10,42.0,42.0,41.56,41.8,22.0
2014-06-11,41.74,41.98,41.74,41.98,12.0
2014-06-12,41.76,42.15,41.76,42.15,14.0
2014-06-16,42.01,42.1,42.0,42.1,10.0
2014-06-17,42.75,42.75,41.81,42.05,12.0
2014-06-18,41.82,42.02,41.82,42.02,6.0
2014-06-19,41.85,41.9,41.81,41.9,6.0
2014-06-20,41.8,41.86,41.65,41.86,14.0
2014-06-25,41.8,41.8,41.7,41.7,4.0
2014-06-26,41.3,41.7,41.3,41.49,20.0
2014-06-30,42.0,42.0,40.81,41.45,28.0
2014-07-08,41.4,41.4,41.4,41.4,2.0
2014-07-09,40.0,40.0,39.75,39.75,30.0
2014-07-11,39.75,39.75,39.75,39.75,2.0
2014-07-14,39.7,39.7,39.7,39.7,2.0
2014-07-16,39.75,39.75,39.75,39.75,2.0
2014-07-17,39.7,39.7,38.5,39.7,34.0
2014-07-18,38.9,39.0,38.9,39.0,20.0
2014-07-22,39.29,39.29,38.95,38.95,8.0
2014-07-23,38.41,38.5,38.0,38.0,26.0
2014-07-24,37.6,38.4,37.6,38.0,8.0
2014-07-25,38.0,38.0,38.0,38.0,10.0
2014-07-29,38.99,38.99,38.55,38.55,4.0
2014-07-30,38.5,38.57,38.4,38.55,14.0
2014-07-31,38.35,38.8,38.3,38.8,52.0
2014-08-01,38.42,38.49,38.1,38.49,46.0
2014-08-04,38.8,38.8,38.8,38.8,4.0
2014-08-05,38.8,38.8,38.0,38.6,126.0
2014-08-06,38.1,38.25,38.0,38.25,66.0
2014-08-07,38.0,38.01,38.0,38.0,16.0
2014-08-08,38.44,38.44,38.44,38.44,2.0
2014-08-11,37.8,37.89,37.63,37.79,20.0
2014-08-12,38.2,38.49,37.5,37.5,12.0
2014-08-13,38.2,38.2,38.2,38.2,2.0
2014-08-14,38.5,38.5,37.4,37.59,22.0
2014-08-18,37.8,37.8,37.2,37.2,4.0
2014-08-19,36.0,36.0,36.0,36.0,432.0
2014-08-20,35.0,36.0,35.0,36.0,10.0
2014-08-21,36.0,36.0,35.99,36.0,12.0
2014-08-26,35.5,35.5,35.5,35.5,774.0
2014-08-27,35.5,35.5,35.5,35.5,2.0
2014-08-28,34.08,34.89,34.08,34.85,42.0
2014-08-29,35.38,35.98,34.2,34.2,392.0
2014-09-01,34.08,34.08,34.08,34.08,4.0
2014-09-02,35.5,35.5,35.5,35.5,2.0
2014-09-09,34.01,34.01,34.0,34.0,380.0
2014-09-15,34.5,34.5,34.5,34.5,382.0
